t_index term df
583 arriv 180
584 arrog 3
585 arrow 4
586 arsen 10
587 arseni 1
588 arsonist 1
589 art 11
590 arthriti 1
591 arthur 4
592 articl 5
593 articul 1
594 artifact 1
595 artifici 4
596 artist 4
597 artudo 1
598 arturo 6
599 aruba 2
600 aryapov 1
601 asa 1
602 asahi 1
603 ascend 1
604 ascrib 4
605 asean 1
606 ash 5
607 asham 1
608 ashcroft 56
609 ashkroft 1
610 ashok 1
611 ashor 2
612 ashraf 1
613 ashtray 1
614 asia 32
615 asian 15
616 asid 30
617 aspect 11
618 aspir 2
619 assad 1
620 assail 4
621 assam 6
622 assassin 21
623 assault 28
624 assembl 19
625 assert 17
626 assess 48
627 asset 10
628 assign 24
629 assist 76
630 associ 119
631 assort 1
632 assum 38
633 assumpt 7
634 assur 35
635 assuredli 2
636 astakhov 12
637 asterisk 2
638 astonish 7
639 astound 2
640 astronom 1
641 astut 1
642 asylum 29
643 asymmetr 2
644 atal 13
645 atck 2
646 ate 4
647 atf 2
648 atfein 1
649 ath 1
650 athal 1
651 athlet 3
652 atlant 15
653 atlanta 6
654 atmat 1
655 atmospher 10
656 atom 4
657 atop 13
658 atp 3
659 atroc 10
660 atrophi 1
661 attach 15
662 attack 306
663 attain 1
664 attar 1
665 attempt 112
666 attend 68
667 attent 64
668 attest 2
669 attitud 10
670 attorney 58
671 attract 15
672 attribut 12
673 attrit 1
674 atwan 1
675 aubrey 19
676 aubri 5
677 audienc 16
678 audio 4
679 audiotap 1
680 auditor 5
681 auditorium 1
682 aug 33
683 augment 1
684 august 32
685 aunt 2
686 aur 5
687 aura 1
688 aurora 4
689 ausi 1
690 aussi 9
691 auster 2
692 austin 18
693 australia 23
694 australian 72
695 austria 3
696 austrian 1
697 austro 1
698 authent 2
699 author 255
700 authoritarian 27
701 auto 1
702 autocrat 27
703 autograph 1
704 autom 1
705 automat 18
706 automobil 4
707 autonom 1
708 autonomi 3
709 autopilot 1
710 autopsi 1
711 autumn 2
712 avail 44
713 avala 1
714 avalanch 1
715 ave 1
716 aveng 7
717 avent 1
718 avenu 4
719 averag 14
720 avert 6
721 aviat 3
722 aviv 4
723 avner 2
724 avoid 59
725 avow 1
726 aw 10
727 awad 2
728 await 27
729 awaken 2
730 awar 18
731 award 9
732 awe 4
733 aweigh 1
734 awkward 4
735 awn 4
736 awok 1
737 axam 1
738 axe 1
739 ay 2
740 ayatollah 1
741 aykroyd 1
742 ayman 5
743 aynaoui 1
744 ayr 1
745 ayyam 2
746 az 1
747 aziz 1
748 azul 1
749 azulay 2
750 ba 2
751 babenko 2
752 babi 14
753 babkin 6
754 baboa 1
755 back 380
756 backa 1
757 backbo 1
758 backcourt 1
759 backdrop 4
760 backer 14
761 backfir 5
762 background 4
763 backhand 14
764 backho 1
765 backlash 3
766 backstop 2
767 backup 2
768 backward 3
769 backyard 1
770 bacon 18
771 bad 39
772 badawi 1
773 badg 3
774 badli 39
775 badrasen 5
776 baffl 2
777 bag 14
778 bagad 1
779 baggag 1
780 baghbel 1
781 baghdad 2
782 bahg 5
783 bahrain 35
